taxon_oid,Ecosystem Subtype,Latitude,Longitude,Origin,Plasmid Count,Ecosystem Subtype Custom
3300039873,Grasslands,-26.64,27.2,Meta,12,Grasslands
3300043577,Watershed,38.92,-106.95,Meta,7,Other
3300028768,Floodplain,38.92,-106.95,Meta,8,Other
3300039883,Unclassified,-33.93,120.0,Meta,2,Unclassified
3300046502,Peat,68.35,19.04,Meta,2,Peat
3300046694,Rhizosphere,44.59,-123.19,Meta,228,Rhizosphere
3300018481,Riparian zone,41.11,-111.75,Meta,25,Other
3300026997,Tropical forest,18.0,-65.0,Meta,9,Tropical forest
3300049240,Agricultural land,38.55,-121.87,Meta,1,Agricultural land
3300039407,Paddy field/soil,119.02,26.06,Meta,5,Other
3300020766,Temperate forest,42.48,-72.18,Meta,5,Temperate forest
3300026374,Temperate forest,44.23,-122.22,Meta,5,Temperate forest
3300031712,Rhizosphere,47.65,-122.3,Meta,16,Rhizosphere
3300049853,Rhizosphere,37.85,-122.29,Meta,10,Rhizosphere
3300010039,Grasslands,38.87,-122.43,Meta,2,Grasslands
3300020889,Temperate forest,42.48,-72.18,Meta,1,Temperate forest
3300049515,Rhizosphere,37.85,-122.29,Meta,3,Rhizosphere
3300039514,Unclassified,40.8,-76.34,Meta,12,Unclassified
3300044492,Watershed,38.92,-106.95,Meta,5,Other
3300047467,Botanical garden,44.59,-123.19,Meta,8,Other
3300049012,Grasslands,38.53,-121.78,Meta,3,Grasslands
3300005547,Rhizosphere,42.39,-85.37,Meta,4,Rhizosphere
3300048780,Peat,68.35,19.05,Meta,156,Peat
3300044719,Rhizosphere,14.75,-16.85,Meta,27,Rhizosphere
3300048770,Peat,68.35,19.05,Meta,164,Peat
3300046538,Rhizosphere,44.59,-123.19,Meta,146,Rhizosphere
3300048807,Peat,68.35,19.05,Meta,19,Peat
3300050475,Unclassified,46.24,-122.17,Meta,15,Unclassified
3300060652,Temperate forest,40.04,-105.57,Meta,50,Temperate forest
3300031616,Unclassified,45.08,-123.06,Meta,57,Unclassified
3300050485,Unclassified,46.24,-122.17,Meta,17,Unclassified
3300039492,Tropical forest,18.33,-65.73,Meta,5,Tropical forest
3300009174,Rhizosphere,42.39,-85.37,Meta,89,Rhizosphere
3300043674,Watershed,38.99,-107.06,Meta,4,Other
3300044689,Agricultural land,14.75,-16.85,Meta,7,Agricultural land
3300046653,Peat,68.35,19.04,Meta,35,Peat
3300021530,Agricultural land,41.92,-93.75,Meta,6,Agricultural land
3300050220,Agricultural land,41.84,-88.23,Meta,138,Agricultural land
3300012827,Unclassified,43.07,-89.4,Meta,20,Unclassified
3300054632,Temperate forest,50.06,10.45,Meta,1,Temperate forest
3300040385,Boreal forest/Taiga,60.97,25.7,Meta,11,Other
3300003659,Rhizosphere,18.4,-66.05,Meta,6,Rhizosphere
3300027313,Tropical forest,18.0,-65.0,Meta,2,Tropical forest
3300062116,Shrubland,40.2,-112.5,Meta,15,Other
3300042849,Floodplain,38.92,-106.95,Meta,7,Other
3300020662,Temperate forest,42.48,-72.18,Meta,7,Temperate forest
3300049051,Grasslands,38.53,-121.78,Meta,2,Grasslands
3300015201,Agricultural land,43.3,-89.38,Meta,1,Agricultural land
3300021037,Temperate forest,42.48,-72.18,Meta,3,Temperate forest
3300026849,Tropical forest,18.0,-65.0,Meta,1,Tropical forest
3300010041,Grasslands,38.87,-122.43,Meta,18,Grasslands
3300039890,Grasslands,-26.72,27.1,Meta,15,Grasslands
3300039497,Unclassified,63.88,-149.23,Meta,19,Unclassified
3300024254,Temperate forest,40.44,-87.03,Meta,2,Temperate forest
3300005367,Rhizosphere,42.39,-85.37,Meta,107,Rhizosphere
3300050225,Agricultural land,41.84,-88.23,Meta,47,Agricultural land
3300043650,Watershed,38.95,-107.07,Meta,2,Other
3300021008,Temperate forest,42.48,-72.18,Meta,2,Temperate forest
3300036851,Agricultural land,41.17,-96.41,Meta,57,Agricultural land
3300020769,Temperate forest,42.48,-72.18,Meta,3,Temperate forest
3300049656,Rhizosphere,37.85,-122.29,Meta,1,Rhizosphere
3300040380,Boreal forest/Taiga,47.53,19.01,Meta,9,Other
3300020876,Temperate forest,42.48,-72.18,Meta,3,Temperate forest
3300020886,Temperate forest,42.48,-72.18,Meta,1,Temperate forest
3300049448,Agricultural land,46.12,-123.27,Meta,22,Agricultural land
3300010036,Grasslands,38.87,-122.43,Meta,9,Grasslands
3300050470,Unclassified,46.24,-122.17,Meta,1,Unclassified
3300039867,Boreal forest/Taiga,60.25,25.17,Meta,49,Other
3300039460,Grasslands,34.98,-97.52,Meta,6,Grasslands
3300012822,Unclassified,43.07,-89.4,Meta,14,Unclassified
3300039686,Sand,40.02,-105.27,Meta,1,Other
3300049181,Grasslands,38.53,-121.78,Meta,80,Grasslands
3300027546,Temperate forest,38.88,-120.64,Meta,1,Temperate forest
3300049171,Unclassified,35.88,-106.3,Meta,103,Unclassified
3300028878,Floodplain,38.92,-106.96,Meta,39,Other
3300005289,Rhizosphere,42.79,-84.39,Meta,171,Rhizosphere
3300045285,Temperate forest,47.55,-92.3,Meta,10,Temperate forest
3300021032,Temperate forest,42.48,-72.18,Meta,3,Temperate forest
3300048793,Peat,68.36,19.04,Meta,69,Peat
3300020667,Temperate forest,42.48,-72.18,Meta,2,Temperate forest
3300045955,Tropical forest,32.58,-110.85,Meta,8,Tropical forest
3300050190,Peat,68.35,19.05,Meta,46,Peat
3300048084,Temperate forest,35.88,-105.54,Meta,6,Temperate forest
3300032126,Rhizosphere,38.5,-121.7,Meta,36,Rhizosphere
3300039584,Unclassified,63.88,-145.75,Meta,14,Unclassified
3300049585,Rhizosphere,29.41,-82.18,Meta,24,Rhizosphere
3300049575,Rhizosphere,29.41,-82.17,Meta,144,Rhizosphere
3300005272,Rhizosphere,44.17,-89.63,Meta,7,Rhizosphere
3300047654,Peat,68.36,19.05,Meta,202,Peat
3300042847,Floodplain,38.92,-106.95,Meta,6,Other
3300013308,Rhizosphere,42.39,-85.37,Meta,92,Rhizosphere
3300039619,Unclassified,-13.74,141.51,Meta,1,Unclassified
3300021039,Temperate forest,42.48,-72.18,Meta,4,Temperate forest
3300019767,Riparian zone,35.02,-111.74,Meta,12,Other
3300025945,Rhizosphere,42.39,-85.37,Meta,45,Rhizosphere
3300039555,Unclassified,63.88,-149.23,Meta,1,Unclassified
3300036783,Temperate forest,-34.5,150.0,Meta,94,Temperate forest
3300046506,Rhizosphere,44.59,-123.19,Meta,225,Rhizosphere
3300036773,Temperate forest,35.5,-121.0,Meta,71,Temperate forest
3300061626,Temperate forest,44.95,-110.54,Meta,6,Temperate forest
3300044677,Watershed,38.93,-106.97,Meta,11,Other
3300044687,Agricultural land,14.75,-16.85,Meta,3,Agricultural land
3300020795,Temperate forest,42.48,-72.18,Meta,3,Temperate forest
3300020762,Temperate forest,42.48,-72.18,Meta,1,Temperate forest
3300060671,Tundra,68.64,-149.64,Meta,20,Other
3300050218,Agricultural land,41.84,-88.23,Meta,15,Agricultural land
3300046484,Peat,68.35,19.04,Meta,20,Peat
3300046474,Rhizosphere,44.59,-123.19,Meta,275,Rhizosphere
3300005546,Rhizosphere,42.39,-85.37,Meta,19,Rhizosphere
3300048050,Peat,68.35,19.05,Meta,51,Peat
3300046704,Peat,68.35,19.04,Meta,11,Peat
3300005981,Rhizosphere,18.4,-66.05,Meta,39,Rhizosphere
3300049324,Watershed,38.91,-107.03,Meta,16,Other
3300020790,Temperate forest,42.48,-72.18,Meta,2,Temperate forest
3300045108,Temperate forest,38.91,-120.66,Meta,3,Temperate forest
3300005277,Rhizosphere,35.9,-79.05,Meta,1,Rhizosphere
3300020669,Temperate forest,42.48,-72.18,Meta,2,Temperate forest
3300012984,Agricultural land,42.45,-76.38,Meta,29,Agricultural land
3300009551,Rhizosphere,42.39,-85.37,Meta,213,Rhizosphere
3300049930,Temperate forest,35.88,-106.54,Meta,2,Temperate forest
3300048806,Peat,68.35,19.04,Meta,12,Peat
3300042842,Floodplain,38.92,-106.95,Meta,6,Other
3300036816,Temperate forest,-34.5,150.0,Meta,17,Temperate forest
3300039499,Unclassified,63.88,-149.23,Meta,12,Unclassified
3300051098,Agricultural land,43.3,-89.33,Meta,14,Agricultural land
3300049580,Rhizosphere,29.41,-82.17,Meta,80,Rhizosphere
3300020863,Temperate forest,42.48,-72.18,Meta,2,Temperate forest
3300049570,Rhizosphere,29.41,-82.17,Meta,271,Rhizosphere
3300043586,Watershed,38.93,-106.97,Meta,6,Other
3300005531,Unclassified,40.8,-76.34,Meta,136,Unclassified
3300046455,Rhizosphere,46.12,-123.27,Meta,115,Rhizosphere
3300012955,Agricultural land,42.45,-76.38,Meta,12,Agricultural land
3300040021,Boreal forest/Taiga,61.09,25.74,Meta,13,Other
3300043247,Temperate forest,42.53,-72.19,Meta,24,Temperate forest
3300042996,Desert,34.07,-116.17,Meta,11,Other
3300025940,Rhizosphere,42.39,-85.37,Meta,13,Rhizosphere
3300039406,Unclassified,-35.12,141.98,Meta,16,Unclassified
3300020767,Temperate forest,42.48,-72.18,Meta,6,Temperate forest
3300044672,Unclassified,14.75,-16.85,Meta,1,Unclassified
3300006853,Tree plantation,35.84,-83.96,Meta,29,Other
3300039893,Unclassified,-34.68,138.91,Meta,2,Unclassified
3300044738,Unclassified,40.43,-106.25,Meta,19,Unclassified
3300040276,Boreal forest/Taiga,47.53,19.01,Meta,3,Other
3300037069,Agricultural land,57.19,-2.21,Meta,4,Agricultural land
3300021088,Temperate forest,42.48,-72.18,Meta,19,Temperate forest
3300046519,Rhizosphere,44.59,-123.19,Meta,334,Rhizosphere
3300042134,Rhizosphere,41.95,-103.7,Meta,5,Rhizosphere
3300047470,Rhizosphere,44.59,-123.19,Meta,300,Rhizosphere
3300043653,Watershed,38.99,-107.06,Meta,1,Other
3300048767,Peat,68.35,19.05,Meta,7,Peat
3300046684,Rhizosphere,44.59,-123.19,Meta,47,Rhizosphere
3300046674,Rhizosphere,46.12,-123.27,Meta,99,Rhizosphere
3300025885,Rhizosphere,42.39,-85.37,Meta,13,Rhizosphere
3300009978,Rhizosphere,30.39,-97.73,Meta,10,Rhizosphere
3300039606,Grasslands,40.02,-105.27,Meta,20,Grasslands
3300044854,Agricultural land,42.41,-85.4,Meta,4,Agricultural land
3300009988,Rhizosphere,30.39,-97.73,Meta,1,Rhizosphere
3300010371,Unclassified,42.39,-85.37,Meta,120,Unclassified
3300050014,Peat,68.35,19.05,Meta,122,Peat
3300050473,Unclassified,46.24,-122.17,Meta,2,Unclassified
3300039463,Grasslands,34.98,-97.52,Meta,5,Grasslands
3300050483,Unclassified,46.24,-122.17,Meta,3,Unclassified
3300020154,Desert,33.3,-116.25,Meta,10,Other
3300061212,Grasslands,33.41,-97.6,Meta,21,Grasslands
3300049926,Temperate forest,35.88,-106.53,Meta,1,Temperate forest
3300020806,Temperate forest,42.48,-72.18,Meta,2,Temperate forest
3300025227,Rhizosphere,42.39,-85.37,Meta,1,Rhizosphere
3300048790,Peat,68.35,19.05,Meta,29,Peat
3300025921,Rhizosphere,42.39,-85.37,Meta,55,Rhizosphere
3300049748,Agricultural land,38.55,-121.87,Meta,1,Agricultural land
3300004683,Unclassified,-9.02,-42.7,Meta,1,Unclassified
3300024283,Temperate forest,40.44,-87.03,Meta,4,Temperate forest
3300043604,Watershed,38.93,-106.98,Meta,1,Other
3300055138,Peat,68.35,19.05,Meta,516,Peat
3300026508,Temperate forest,44.23,-122.22,Meta,3,Temperate forest
3300000708,Tropical forest,18.0,-65.0,Meta,8,Tropical forest
3300031943,Agricultural land,39.65,-79.94,Meta,1,Agricultural land
3300045283,Temperate forest,46.31,-92.3,Meta,26,Temperate forest
3300048795,Peat,68.35,19.04,Meta,91,Peat
3300005841,Rhizosphere,42.39,-85.37,Meta,97,Rhizosphere
3300048762,Peat,68.35,19.05,Meta,90,Peat
3300006804,Agricultural land,33.88,-83.42,Meta,3,Agricultural land
3300026982,Tropical forest,18.0,-65.0,Meta,5,Tropical forest
3300012844,Unclassified,43.07,-89.4,Meta,18,Unclassified
3300005328,Rhizosphere,42.39,-85.37,Meta,8,Rhizosphere
3300042982,Unclassified,37.3,127.91,Meta,33,Unclassified
3300042532,Rhizosphere,41.18,-98.0,Meta,2,Rhizosphere
3300037474,Greenhouse,36.0,-78.0,Meta,10,Other
3300050223,Agricultural land,41.84,-88.23,Meta,12,Agricultural land
3300048819,Peat,68.35,19.05,Meta,19,Peat
3300037852,Temperate forest,42.53,-72.19,Meta,152,Temperate forest
3300026035,Rhizosphere,42.39,-85.37,Meta,67,Rhizosphere
3300035724,Rhizosphere,46.11,-122.99,Meta,33,Rhizosphere
3300037013,Temperate forest,42.53,-72.19,Meta,2,Temperate forest
3300010359,Tropical forest,9.11,-79.84,Meta,17,Tropical forest
3300040263,Boreal forest/Taiga,61.01,25.66,Meta,5,Other
3300006358,Rhizosphere,42.41,-85.4,Meta,20,Rhizosphere
3300048812,Peat,68.35,19.05,Meta,65,Peat
3300039398,Unclassified,-25.35,131.04,Meta,5,Unclassified
3300046114,Watershed,38.99,-107.06,Meta,2,Other
3300049456,Temperate forest,35.88,-106.54,Meta,68,Temperate forest
3300005468,Rhizosphere,42.39,-85.37,Meta,80,Rhizosphere
3300020897,Temperate forest,42.48,-72.18,Meta,4,Temperate forest
3300039553,Temperate forest,30.71,-95.55,Meta,12,Temperate forest
3300051658,Temperate forest,48.93,13.43,Meta,13,Temperate forest
3300049007,Temperate forest,33.7,-117.47,Meta,14,Temperate forest
3300052932,Temperate forest,39.94,-105.94,Meta,17,Temperate forest
3300020793,Temperate forest,42.48,-72.18,Meta,1,Temperate forest
3300024178,Temperate forest,40.44,-87.03,Meta,2,Temperate forest
3300047673,Rhizosphere,46.12,-123.27,Meta,143,Rhizosphere
3300036838,Agricultural land,26.65,-80.63,Meta,2,Agricultural land
3300036785,Temperate forest,-33.6,150.0,Meta,54,Temperate forest
3300046784,Agricultural land,44.59,-123.19,Meta,1,Agricultural land
3300039697,Boreal forest/Taiga,47.54,19.01,Meta,19,Other
3300019931,Palsa,68.35,19.01,Meta,2,Other
3300043599,Watershed,38.94,-107.01,Meta,2,Other
3300049583,Rhizosphere,29.41,-82.18,Meta,25,Rhizosphere
3300020860,Temperate forest,42.48,-72.18,Meta,1,Temperate forest
3300049573,Rhizosphere,29.41,-82.17,Meta,192,Rhizosphere
3300046517,Rhizosphere,46.12,-123.27,Meta,147,Rhizosphere
3300039486,Unclassified,63.88,-149.23,Meta,21,Unclassified
3300039476,Boreal forest/Taiga,65.16,-147.49,Meta,13,Other
3300045953,Tropical forest,32.58,-110.85,Meta,13,Tropical forest
3300048769,Peat,68.35,19.05,Meta,56,Peat
3300050128,Peat,68.35,19.05,Meta,50,Peat
3300028380,Rhizosphere,42.39,-85.37,Meta,79,Rhizosphere
3300052908,Temperate forest,41.03,-106.64,Meta,4,Temperate forest
3300042979,Unclassified,37.28,127.91,Meta,2,Unclassified
3300036802,Temperate forest,-33.6,150.0,Meta,104,Temperate forest
3300050511,Rhizosphere,35.84,-83.96,Meta,22,Rhizosphere
3300043161,Temperate forest,42.53,-72.19,Meta,46,Temperate forest
3300048817,Peat,68.35,19.05,Meta,93,Peat
3300020931,Temperate forest,42.48,-72.18,Meta,2,Temperate forest
3300046453,Rhizosphere,44.59,-123.19,Meta,126,Rhizosphere
3300050236,Agricultural land,45.27,-97.84,Meta,108,Agricultural land
3300044709,Agricultural land,42.41,-85.4,Meta,23,Agricultural land
3300043474,Watershed,38.95,-107.07,Meta,4,Other
3300020865,Temperate forest,42.48,-72.18,Meta,3,Temperate forest
3300043484,Watershed,38.92,-106.95,Meta,2,Other
